checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,2499986166,408818151.504230,0.244608,1000000,8,4,cyclic,8,8,50000000,50000000,1117281478.785610,0.089503,1.071943,93288564.443875,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62877147.998695,1.590403,1000000,8,4,block,8,8,50000000,50000000,159690151.601726,0.626213,3.691697,27087809.953342,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,374684928.664750,0.266891,1000000,8,4,cyclic,8,8,50000000,50000000,883321751.412783,0.113209,1.138809,87811000.677593,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44994383.166431,2.222500,1000000,8,4,block,8,8,50000000,50000000,157531565.575540,0.634793,4.331961,23084233.307104,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,129857307.265823,0.770076,1000000,8,4,cyclic,8,8,50000000,50000000,419691139.678199,0.238270,1.964997,50890669.858245,false
6185417096973469475,16931092769743058723,uniform,2499986166,405690922.575424,0.246493,1000000,8,8,block,8,8,50000000,50000000,1079617794.995756,0.092625,1.230393,81274823.544902,false
6185417096973469475,16931092769743058723,uniform,2499986166,406354096.601983,0.246091,1000000,8,8,cyclic,8,8,50000000,50000000,1068778970.227329,0.093565,1.021118,97931831.782807,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,59075167.310180,1.692759,1000000,8,8,block,8,8,50000000,50000000,158455158.128251,0.631093,3.881303,25764546.167895,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,369866803.534214,0.270368,1000000,8,8,cyclic,8,8,50000000,50000000,852953429.841820,0.117240,1.087727,91934846.215492,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44905183.034794,2.226914,1000000,8,8,block,8,8,50000000,50000000,156712655.074611,0.638111,4.421979,22614311.519586,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,131599807.760233,0.759880,1000000,8,8,cyclic,8,8,50000000,50000000,418248110.618183,0.239093,1.849320,54073942.892623,false
6185417096973469475,16931092769743058723,uniform,2499986166,66031719.755614,1.514424,1000000,1,1,block,1,1,50000000,50000000,52400274.498226,1.908387,10.112917,9888344.052112,false
6185417096973469475,16931092769743058723,uniform,2499986166,52035865.794540,1.921751,1000000,1,1,cyclic,1,1,50000000,50000000,52199452.732638,1.915729,8.661742,11545021.767738,false
